Title;Authors;DOI;Removed (Title);Removed (Abstract)
Natural language processing-enhanced extraction of SBVR business vocabularies and business rules from UML use case diagrams;Paulius Danenas and Tomas Skersys and Rimantas Butleris;10.1016/j.datak.2020.101822;0;0
On the adoption of software bill of materials in open-source software projects;Sabato Nocera and Simone Romano and Massimiliano {Di Penta;10.1016/j.jss.2025.112540;0;0
OpenML: Insights from 10 years and more than a thousand papers;Bernd Bischl and Giuseppe Casalicchio and Taniya Das and Matthias Feurer and Sebastian Fischer and Pieter Gijsbers and Subhaditya Mukherjee and Andreas C. M√ºller and L√°szl√≥ N√©meth and Luis Oala and Lennart Purucker and Sahithya Ravi and Jan N. {van Rijn;10.1016/j.patter.2025.101317;0;0
Regulating AI. A label to complete the proposed Act on Artificial Intelligence;Kees Stuurman and Eric Lachaud;10.1016/j.clsr.2022.105657;0;0
Toward Fairness, Accountability, Transparency, and Ethics in AI for Social Media and Health Care: Scoping Review;Aditya Singhal and Nikita Neveditsin and Hasnaat Tanveer and Vijay Mago;10.2196/50048;0;0
“Model Cards for Model Reporting” in 2024: Reclassifying Category of Ethical Considerations in Terms of Trustworthiness and Risk Management;"Kennedy-Mayo, D.; Gord, J.";10.1007/978-3-031-84457-7_11;0;0
AI Cards: Towards an Applied Framework for Machine-Readable AI and Risk Documentation Inspired by the EU AI Act;"Golpayegani, D.; Hupont, I.; Panigutti, C.; Pandit, H.J.; Schade, S.; O'Sullivan, D.; Lewis, D.";10.1007/978-3-031-68024-3_3;0;0
AI Model Cards: State of the Art and Path to Automated Use;"Mehraj, A.; Cao, A.; Systä, K.; Mikkonen, T.; Kotilainen, P.; Hästbacka, D.; Mäkitalo, N.";10.5220/0013706600003985;0;0
AI Usage Cards: Responsibly Reporting AI-Generated Content;"Wahle, J.P.; Ruas, T.; Mohammad, S.M.; Meuschke, N.; Gipp, B.";10.1109/JCDL57899.2023.00060;0;0
Answering User Questions About Machine Learning Models Through Standardized Model Cards;"Toma, T.R.; Grewal, B.; Bezemer, C.-P.";10.1109/ICSE55347.2025.00066;0;0
Application of an ontology for model cards to generate computable artifacts for linking machine learning information from biomedical research;"Amith, M.T.; Cui, L.; Roberts, K.; Tao, C.";10.1145/3543873.3587601;0;0
Automatic Generation of Model and Data Cards: A Step Towards Responsible AI;"Liu, J.; Li, W.; Jin, Z.; Diab, M.";10.18653/v1/2024.naacl-long.110;0;0
Datasheets for Digital Cultural Heritage Datasets;"Alkemade, H.; Claeyssens, S.; Colavizza, G.; Freire, N.; Lehmann, J.; Neudecker, C.; Osti, G.; van Strien, D.";10.5334/johd.124;0;0
Documenting Ethical Considerations in Open Source AI Models;"Gao, H.; Zahedi, M.; Treude, C.; Rosenstock, S.; Cheong, M.";10.1145/3674805.3686679;0;0
FactSheets for Hardware-Aware AI Models: A Case Study of Analog in Memory Computing AI Models;"Dominique, B.; El Maghraoui, K.E.; Piorkowski, D.; Herger, L.";10.1109/SSE60056.2023.00029;0;0
Impact Assessment Card: Communicating Risks and Benefits of AI Uses;"Bogucka, E.; Constantinides, M.; Scepanovic, S.; Quercia, D.";10.1145/3757482;0;0
Interactive Model Cards: A Human-Centered Approach to Model Documentation;"Crisan, A.; Drouhard, M.; Vig, J.; Rajani, N.";10.1145/3531146.3533108;0;0
Machine Learning Model Cards Transparency Review: Using model card toolkit;"Wadhwani, A.; Jain, P.";10.1109/PuneCon50868.2020.9362382;0;0
Method Cards for Prescriptive Machine-Learning Transparency;"Adkins, D.; Alsallakh, B.; Cheema, A.; Kokhlikyan, N.; McReynolds, E.; Mishra, P.; Procope, C.; Sawruk, J.; Wang, E.; Zvyagina, P.";10.1145/3522664.3528600;0;0
Model cards for model reporting;"Mitchell, M.; Wu, S.; Zaldivar, A.; Barnes, P.; Vasserman, L.; Hutchinson, B.; Spitzer, E.; Raji, I.D.; Gebru, T.";10.1145/3287560.3287596;0;0
Model Cards Revisited: Bridging the Gap Between Theory and Practice for Ethical AI Requirements;"Puhlfurs, T.; Butzke, J.; Maalej, W.";10.1109/RE63999.2025.00034;0;0
Systematic analysis of 32,111 AI model cards characterizes documentation practice in AI;"Liang, W.; Rajani, N.; Yang, X.; Ozoani, E.; Wu, E.; Chen, Y.; Smith, D.S.; Zou, J.";10.1038/s42256-024-00857-z;0;0
Toward a standard formal semantic representation of the model card report;"Amith, M.T.; Cui, L.; Zhi, D.; Roberts, K.; Jiang, X.; Li, F.; Yu, E.; Tao, C.";10.1186/s12859-022-04797-6;0;0
Toward Patient-Centered AI Fact Labels: Leveraging Extrinsic Trust Cues;"Yoo, D.W.; Stroud, A.M.; Zhu, X.; Miller, J.E.; Barry, B.";10.1145/3715336.3735758;0;0
Towards a Semantic Approach for Linked Dataspace, Model and Data Cards;"Donald, A.; Galanopoulos, A.; Curry, E.; Muñoz, E.; Ullah, I.; Waskow, M.A.; Dabrowski, M.; Kalra, M.";10.1145/3543873.3587659;0;0
Towards Safe Machine Learning Lifecycles with ESG Model Cards;"Bonnier, T.; Bosch, B.";10.1007/978-3-031-40953-0_31;0;0
Using Model Cards for ethical reflection on machine learning models: an interview-based study;"Nunes, J.L.; Barbosa, G.D.J.; de Souza, C.S.; Diniz Junqueira Barbosa, S.D.J.";10.5753/jis.2024.3444;0;0
Using Model Cards for Ethical Reflection: A Qualitative Exploration;"Nunes, J.L.; Barbosa, G.D.J.; de Souza, C.S.; Lopes, H.; Diniz Junqueira Barbosa, S.D.J.";10.1145/3554364.3559117;0;0
-generAItor: Tree-in-the-loop Text Generation for Language Model Explainability and Adaptation;"Spinner, Thilo and Kehlbeck, Rebecca and Sevastjanova, Rita and St\""{a";10.1145/3652028;0;0
A Comprehensive Survey of Small Language Models in the Era of Large Language Models: Techniques, Enhancements, Applications, Collaboration with LLMs, and Trustworthiness;Wang, Fali and Zhang, Zhiwei and Zhang, Xianren and Wu, Zongyu and Mo, TzuHao and Lu, Qiuhao and Wang, Wanjing and Li, Rui and Xu, Junjie and Tang, Xianfeng and He, Qi and Ma, Yao and Huang, Ming and Wang, Suhang;10.1145/3768165;0;0
A Scoping Study of Evaluation Practices for Responsible AI Tools: Steps Towards Effectiveness Evaluations;Berman, Glen and Goyal, Nitesh and Madaio, Michael;10.1145/3613904.3642398;0;0
Acceptable Use Policies for Foundation Models;Klyman, Kevin;;0;0
AI policy matters;Medsker, Larry;10.1145/3375637.3375641;0;0
AI Regulation Is (not) All You Need;Lucaj, Laura and van der Smagt, Patrick and Benbouzid, Djalel;10.1145/3593013.3594079;0;0
An Empirical Study on Software Bill of Materials: Where We Stand and the Road Ahead;Xia, Boming and Bi, Tingting and Xing, Zhenchang and Lu, Qinghua and Zhu, Liming;10.1109/ICSE48619.2023.00219;0;0
Analyzing the Evolution and Maintenance of ML Models on Hugging Face;Casta\~{n;10.1145/3643991.3644898;0;0
Aspirations and Practice of ML Model Documentation: Moving the Needle with Nudging and Traceability;"Bhat, Avinash and Coursey, Austin and Hu, Grace and Li, Sixian and Nahar, Nadia and Zhou, Shurui and K\""{a";10.1145/3544548.3581518;0;0
Behavioral Use Licensing for Responsible AI;Contractor, Danish and McDuff, Daniel and Haines, Julia Katherine and Lee, Jenny and Hines, Christopher and Hecht, Brent and Vincent, Nicholas and Li, Hanlin;10.1145/3531146.3533143;0;0
Benchmarking Recommendation, Classification, and Tracing Based on Hugging Face Knowledge Graph;Chen, Qiaosheng and Huang, Kaijia and Zhou, Xiao and Luo, Weiqing and Cui, Yuanning and Cheng, Gong;10.1145/3726302.3730277;0;0
Beyond Expertise and Roles: A Framework to Characterize the Stakeholders of Interpretable Machine Learning and their Needs;Suresh, Harini and Gomez, Steven R. and Nam, Kevin K. and Satyanarayan, Arvind;10.1145/3411764.3445088;0;0
Charting the Path to SBOM Adoption: A Business Stakeholder-Centric Approach;Kloeg, Berend and Ding, Aaron Yi and Pellegrom, Sjoerd and Zhauniarovich, Yury;10.1145/3634737.3637659;0;0
Closing the AI accountability gap: defining an end-to-end framework for internal algorithmic auditing;Raji, Inioluwa Deborah and Smart, Andrew and White, Rebecca N. and Mitchell, Margaret and Gebru, Timnit and Hutchinson, Ben and Smith-Loud, Jamila and Theron, Daniel and Barnes, Parker;10.1145/3351095.3372873;0;0
Computing for the 22nd Century: More-than-human to see the environmental footprints of profound technologies;Wiberg, Mikael and Teigland, Robin;10.1145/3686169.3686177;0;0
ConvXAI : Delivering Heterogeneous AI Explanations via Conversations to Support Human-AI Scientific Writing;Shen, Hua and Huang, Chieh-Yang and Wu, Tongshuang and Huang, Ting-Hao Kenneth;10.1145/3584931.3607492;0;0
Data Statements: From Technical Concept to Community Practice;McMillan-Major, Angelina and Bender, Emily M. and Friedman, Batya;10.1145/3594737;0;0
Designerly Understanding: Information Needs for Model Transparency to Support Design Ideation for AI-Powered User Experience;Liao, Q. Vera and Subramonyam, Hariharan and Wang, Jennifer and Wortman Vaughan, Jennifer;10.1145/3544548.3580652;0;0
Do Responsible AI Artifacts Advance Stakeholder Goals? Four Key Barriers Perceived by Legal and Civil Stakeholders;Kawakami, Anna and Wilkinson, Daricia and Chouldechova, Alexandra;;0;0
Documentation Matters: Human-Centered AI System to Assist Data Science Code Documentation in Computational Notebooks;Wang, April Yi and Wang, Dakuo and Drozdal, Jaimie and Muller, Michael and Park, Soya and Weisz, Justin D. and Liu, Xuye and Wu, Lingfei and Dugan, Casey;10.1145/3489465;0;0
Does the Whole Exceed its Parts? The Effect of AI Explanations on Complementary Team Performance;Bansal, Gagan and Wu, Tongshuang and Zhou, Joyce and Fok, Raymond and Nushi, Besmira and Kamar, Ece and Ribeiro, Marco Tulio and Weld, Daniel;10.1145/3411764.3445717;0;0
Emerging Data Practices: Data Work in the Era of Large Language Models;Alvarado Garcia, Adriana and Candello, Heloisa and Badillo-Urquiola, Karla and Wong-Villacres, Marisol;10.1145/3706598.3714069;0;0
Enhancing Transparency and Accountability of TPLs with PBOM: A Privacy Bill of Materials;Xiao, Yue and Nadkarni, Adwait and Liao, Xiaojing;10.1145/3689944.3696159;0;0
Envisioning Stakeholder-Action Pairs to Mitigate Negative Impacts of AI: A Participatory Approach to Inform Policy Making;Barnett, Julia and Kieslich, Kimon and Helberger, Natali and Diakopoulos, Nicholas;10.1145/3715275.3732096;0;0
Explainability fact sheets: a framework for systematic assessment of explainable approaches;Sokol, Kacper and Flach, Peter;10.1145/3351095.3372870;0;0
FAccT '23: Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency;;;0;0
FAccT '24: Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency;;;0;0
FAccT '25: Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency;;;0;0
fAIlureNotes: Supporting Designers in Understanding the Limits of AI Models for Computer Vision Tasks;Moore, Steven and Liao, Q. Vera and Subramonyam, Hariharan;10.1145/3544548.3581242;0;0
Foundation Model Transparency Reports;Bommasani, Rishi and Klyman, Kevin and Longpre, Shayne and Xiong, Betty and Kapoor, Sayash and Maslej, Nestor and Narayanan, Arvind and Liang, Percy;;0;0
Garbage in, garbage out? do machine learning application papers in social computing report where human-labeled training data comes from?;Geiger, R. Stuart and Yu, Kevin and Yang, Yanlai and Dai, Mindy and Qiu, Jie and Tang, Rebekah and Huang, Jenny;10.1145/3351095.3372862;0;0
Globally-consistent rule-based summary-explanations for machine learning models: application to credit-risk evaluation;Rudin, Cynthia and Shaposhnik, Yaron;;0;0
How do Hugging Face Models Document Datasets, Bias, and Licenses? An Empirical Study;Pepe, Federica and Nardone, Vittoria and Mastropaolo, Antonio and Bavota, Gabriele and Canfora, Gerardo and Di Penta, Massimiliano;10.1145/3643916.3644412;0;0
Human Factors in Model Interpretability: Industry Practices, Challenges, and Needs;Hong, Sungsoo Ray and Hullman, Jessica and Bertini, Enrico;10.1145/3392878;0;0
Improving Governance Outcomes Through AI Documentation: Bridging Theory and Practice;Winecoff, Amy and Bogen, Miranda;10.1145/3706598.3713814;0;0
Investigating Explainability of Generative AI for Code through Scenario-based Design;Sun, Jiao and Liao, Q. Vera and Muller, Michael and Agarwal, Mayank and Houde, Stephanie and Talamadupula, Kartik and Weisz, Justin D.;10.1145/3490099.3511119;0;0
Investigating the Extended Metacommunication Template: How a semiotic tool may encourage reflective ethical practice in the development of machine learning systems;Barbosa, Gabriel Diniz Junqueira and Nunes, Jos\'{e;10.1145/3638067.3638070;0;0
Is this AI trained on Credible Data? The Effects of Labeling Quality and Performance Bias on User Trust;Chen, Cheng and Sundar, S. Shyam;10.1145/3544548.3580805;0;0
Justified Evidence Collection for Argument-based AI Fairness Assurance;Sabuncuoglu, Alpay and Burr, Christopher and Maple, Carsten;10.1145/3715275.3732003;0;0
Laminator: Verifiable ML Property Cards using Hardware-assisted Attestations;Duddu, Vasisht and Gunn, Lachlan J. and Asokan, N.;10.1145/3714393.3726492;0;0
Large Language Models for Constructing and Optimizing Machine Learning Workflows: A Survey;Gu, Yang and You, Hengyu and Cao, Jian and Yu, Muran and Fan, Haoran and Qian, Shiyou;10.1145/3773084;0;0
Legacy Procurement Practices Shape How U.S. Cities Govern AI: Understanding Government Employees' Practices, Challenges, and Needs;Johnson, Nari and Silva, Elise and Leon, Harrison and Eslami, Motahhare and Schwanke, Beth and Dotan, Ravit and Heidari, Hoda;10.1145/3715275.3732049;0;0
Machine learning data practices through a data curation lens: An evaluation framework;Bhardwaj, Eshta and Gujral, Harshit and Wu, Siyi and Zogheib, Ciara and Maharaj, Tegan and Becker, Christoph;10.1145/3630106.3658955;0;0
"Mix &amp; Match Machine Learning: An Ideation Toolkit to Design Machine Learning-Enabled Solutions";Jansen, Anniek and Colombo, Sara;10.1145/3569009.3572739;0;0
MO2RE 2024: Proceedings of the 1st IEEE/ACM Workshop on Multi-disciplinary, Open, and RElevant Requirements Engineering;;;0;0
MRM3: Machine Readable ML Model Metadata;\v{C;10.1145/3711875.3736685;0;0
MSR4SBOM: Mining Software Repositories for enhanced Software Bills of Materials;Scanniello, Giuseppe and Di Penta, Massimiliano and Romano, Simone and Francese, Rita and Nocera, Sabato and Cassieri, Pietro and Bifolco, Daniele and Zampetti, Fiorella;10.1145/3674805.3695390;0;0
Navigating Generative AI Disclosure, Ownership, and Accountability in Co-Creative Domains;Do, Hyo Jin and Feldman, Molly Q and He, Jessica and Hwang, Angel Hsing-Chi and Kim, Seyun;10.1145/3707640.3729212;0;0
NodeShield: Runtime Enforcement of Security-Enhanced SBOMs for Node.js;Cornelissen, Eric and Balliu, Musard;10.1145/3719027.3765136;0;0
On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? ü¶ú;Bender, Emily M. and Gebru, Timnit and McMillan-Major, Angelina and Shmitchell, Shmargaret;10.1145/3442188.3445922;0;0
On the Way to SBOMs: Investigating Design Issues and Solutions in Practice;Bi, Tingting and Xia, Boming and Xing, Zhenchang and Lu, Qinghua and Zhu, Liming;10.1145/3654442;0;0
Opening the Scope of Openness in AI;Paris, Tamara and Moon, AJung and Guo, Jin L.C.;10.1145/3715275.3732087;0;0
PeaTMOSS: A Dataset and Initial Analysis of Pre-Trained Models in Open-Source Software;Jiang, Wenxin and Yasmin, Jerin and Jones, Jason and Synovic, Nicholas and Kuo, Jiashen and Bielanski, Nathaniel and Tian, Yuan and Thiruvathukal, George K. and Davis, James C.;10.1145/3643991.3644907;0;0
Responsible AI Pattern Catalogue: A Collection of Best Practices for AI Governance and Engineering;Lu, Qinghua and Zhu, Liming and Xu, Xiwei and Whittle, Jon and Zowghi, Didar and Jacquet, Aurelie;10.1145/3626234;0;0
Reviewable Automated Decision-Making: A Framework for Accountable Algorithmic Systems;Cobbe, Jennifer and Lee, Michelle Seng Ah and Singh, Jatinder;10.1145/3442188.3445921;0;0
Reward Reports for Reinforcement Learning;Gilbert, Thomas Krendl and Lambert, Nathan and Dean, Sarah and Zick, Tom and Snoswell, Aaron and Mehta, Soham;10.1145/3600211.3604698;0;0
SBOM Ouverture: What We Need and What We Have;Dalia, Gregorio and Visaggio, Corrado Aaron and Di Sorbo, Andrea and Canfora, Gerardo;10.1145/3664476.3669975;0;0
Sentry: Authenticating Machine Learning Artifacts on the Fly;Gan, Andrew and Ghodsi, Zahra;10.1145/3719027.3765070;0;0
Slide4N: Creating Presentation Slides from Computational Notebooks with Human-AI Collaboration;Wang, Fengjie and Liu, Xuye and Liu, Oujing and Neshati, Ali and Ma, Tengfei and Zhu, Min and Zhao, Jian;10.1145/3544548.3580753;0;0
Software engineering for responsible AI: an empirical study and operationalised patterns;Lu, Qinghua and Zhu, Liming and Xu, Xiwei and Whittle, Jon and Douglas, David and Sanderson, Conrad;10.1145/3510457.3513063;0;0
Stronger Together: on the Articulation of Ethical Charters, Legal Tools, and Technical Documentation in ML;Pistilli, Giada and Mu\~{n;10.1145/3593013.3594002;0;0
Studying Up Public Sector AI: How Networks of Power Relations Shape Agency Decisions Around AI Design and Use;Kawakami, Anna and Coston, Amanda and Heidari, Hoda and Holstein, Kenneth and Zhu, Haiyi;10.1145/3686989;0;0
SuperNOVA: Design Strategies and Opportunities for Interactive Visualization in Computational Notebooks;Wang, Zijie J. and Munechika, David and Lee, Seongmin and Chau, Duen Horng;10.1145/3613905.3650848;0;0
Supporting High-Level to Low-Level Requirements Coverage Reviewing with Large Language Models;Preda, Anamaria-Roberta and Mayr-Dorn, Christoph and Mashkoor, Atif and Egyed, Alexander;10.1145/3643991.3644922;0;0
The Devil is in the Details: Interrogating Values Embedded in the Allegheny Family Screening Tool;Gerchick, Marissa and Jegede, Tobi and Shah, Tarak and Gutierrez, Ana and Beiers, Sophie and Shemtov, Noam and Xu, Kath and Samant, Anjana and Horowitz, Aaron;10.1145/3593013.3594081;0;0
The Model Card Authoring Toolkit: Toward Community-centered, Deliberation-driven AI Design;Shen, Hong and Wang, Leijie and Deng, Wesley H. and Brusse, Ciell and Velgersdijk, Ronald and Zhu, Haiyi;10.1145/3531146.3533110;0;0
The Product Beyond the Model - An Empirical Study of Repositories of Open-Source ML Products;"Nahar, Nadia and Zhang, Haoran and Lewis, Grace and Zhou, Shurui and K\""{a";;0;0
Towards a Responsible AI Metrics Catalogue: A Collection of Metrics for AI Accountability;Xia, Boming and Lu, Qinghua and Zhu, Liming and Lee, Sung Une and Liu, Yue and Xing, Zhenchang;10.1145/3644815.3644959;0;0
Tracing and Visualizing Human-ML/AI Collaborative Processes through Artifacts of Data Work;Rogers, Jen and Crisan, Anamaria;10.1145/3544548.3580819;0;0
Tracing the Evolution of Information Transparency for OpenAI's GPT Models through a Biographical Approach;Xu, Zhihan and Mustafaraj, Eni;;0;0
Understanding and Mitigating Risks of Generative AI in Financial Services;Gehrmann, Sebastian and Huang, Claire and Teng, Xian and Yurovski, Sergei and Bhorkar, Arjun and Thomas, Naveen and Doucette, John and Rosenberg, David and Dredze, Mark and Rabinowitz, David;10.1145/3715275.3732168;0;0
Understanding and Supporting the ML Supply Chain through ML Bill of Materials;Stalnaker, Trevor;10.1109/ICSE-Companion66252.2025.00044;0;0
Value Cards: An Educational Toolkit for Teaching Social Impacts of Machine Learning through Deliberation;Shen, Hong and Deng, Wesley H. and Chattopadhyay, Aditi and Wu, Zhiwei Steven and Wang, Xu and Zhu, Haiyi;10.1145/3442188.3445971;0;0
What do we know about Hugging Face? A systematic literature review and quantitative validation of qualitative claims;Jones, Jason and Jiang, Wenxin and Synovic, Nicholas and Thiruvathukal, George and Davis, James;10.1145/3674805.3686665;0;0
A Methodology for Creating AI FactSheets;John Richards, David Piorkowski, Michael Hind, Stephanie Houde, Aleksandra Mojsilović;https://doi.org/10.48550/arXiv.2006.13796;0;0
AI Bill of Materials and Beyond: Systematizing Security Assurance through the AI Risk Scanning (AIRS) Framework;Samuel Nathanson, Alexander Lee, Catherine Chen Kieffer, Jared Junkin, Jessica Ye, Amir Saeed, Melanie Lockhart, Russ Fink, Elisha Peterson, Lanier Watkins;https://doi.org/10.48550/arXiv.2511.12668;0;0
AI/ML Model Cards in Edge AI Cyberinfrastructure: towards Agentic AI;Beth Plale, Neelesh Karthikeyan, Isuru Gamage, Joe Stubbs, Sachith Withana;https://doi.org/10.48550/arXiv.2511.21661;0;0
Aspirations and Practice of Model Documentation: Moving the Needle with Nudging and Traceability;Avinash Bhat, Austin Coursey, Grace Hu, Sixian Li, Nadia Nahar, Shurui Zhou, Christian Kästner, Jin L.C. Guo;https://doi.org/10.48550/arXiv.2204.06425;0;0
AutoLLM-CARD: Towards a Description and Landscape of Large Language Models;Shengwei Tian, Lifeng Han, Goran Nenadic;https://doi.org/10.48550/arXiv.2409.17011;0;0
Benchmarking bias: Expanding clinical AI model card to incorporate bias reporting of social and non-social factors;Carolina A. M. Heming, Mohamed Abdalla, Shahram Mohanna, Monish Ahluwalia, Linglin Zhang, Hari Trivedi, MinJae Woo, Benjamin Fine, Judy Wawira Gichoya, Leo Anthony Celi, Laleh Seyyed-Kalantari;https://doi.org/10.48550/arXiv.2311.12560;0;0
Bridging the Communication Gap: Evaluating AI Labeling Practices for Trustworthy AI Development;Raphael Fischer, Magdalena Wischnewski, Alexander van der Staay, Katharina Poitz, Christian Janiesch, Thomas Liebig;https://doi.org/10.48550/arXiv.2501.11909;0;0
Building an Open AIBOM Standard in the Wild;Gopi Krishnan Rajbahadur, Keheliya Gallaba, Elyas Rashno, Arthit Suriyawongkul, Karen Bennet, Kate Stewart, Ahmed E. Hassan;https://doi.org/10.48550/arXiv.2510.07070;0;0
Choices, Risks, and Reward Reports: Charting Public Policy for Reinforcement Learning Systems;Thomas Krendl Gilbert, Sarah Dean, Tom Zick, Nathan Lambert;https://doi.org/10.48550/arXiv.2202.05716;0;0
Coordinated Flaw Disclosure for AI: Beyond Security Vulnerabilities;Sven Cattell, Avijit Ghosh, Lucie-Aimée Kaffee;https://doi.org/10.48550/arXiv.2402.07039;0;0
DAG Card is the new Model Card;Jacopo Tagliabue, Ville Tuulos, Ciro Greco, Valay Dave;https://doi.org/10.48550/arXiv.2110.13601;0;0
Decoding the Digital Fine Print: Navigating the potholes in Terms of service/ use of GenAI tools against the emerging need for Transparent and Trustworthy Tech Futures;Sundaraparipurnan Narayanan;https://doi.org/10.48550/arXiv.2406.11845;0;0
Dynamic Documentation for AI Systems;Soham Mehta, Anderson Rogers, Thomas Krendl Gilbert;https://doi.org/10.48550/arXiv.2303.10854;0;0
FactSheets: Increasing Trust in AI Services through Supplier's Declarations of Conformity;Matthew Arnold, Rachel K. E. Bellamy, Michael Hind, Stephanie Houde, Sameep Mehta, Aleksandra Mojsilovic, Ravi Nair, Karthikeyan Natesan Ramamurthy, Darrell Reimer, Alexandra Olteanu, David Piorkowski, Jason Tsay, Kush R. Varshney;https://doi.org/10.48550/arXiv.1808.07261;0;0
Human-aligned AI Model Cards with Weighted Hierarchy Architecture;Pengyue Yang, Haolin Jin, Qingwen Zeng, Jiawen Wen, Harry Rao, Huaming Chen;https://doi.org/10.48550/arXiv.2510.06989;0;0
Implementing AI Bill of Materials (AI BOM) with SPDX 3.0: A Comprehensive Guide to Creating AI and Dataset Bill of Materials;Karen Bennet, Gopi Krishnan Rajbahadur, Arthit Suriyawongkul, Kate Stewart;https://doi.org/10.48550/arXiv.2504.16743;0;0
Locating Risk: Task Designers and the Challenge of Risk Disclosure in RAI Content Work;Alice Qian, Ryland Shaw, Laura Dabbish, Jina Suh, Hong Shen;https://doi.org/10.48550/arXiv.2505.24246;0;0
Mapping Industry Practices to the EU AI Act's GPAI Code of Practice Safety and Security Measures;Lily Stelling, Mick Yang, Rokas Gipiškis, Leon Staufer, Ze Shen Chin, Siméon Campos, Ariel Gil, Michael Chen;https://doi.org/10.48550/arXiv.2504.15181;0;0
Model Cards for AI Teammates: Comparing Human-AI Team Familiarization Methods for High-Stakes Environments;Ryan Bowers, Richard Agbeyibor, Jack Kolb, Karen Feigh;https://doi.org/10.48550/arXiv.2505.13773;0;0
